Rank,Name,Pricing,Developer
1,Monzo - Mobile Banking,,
2,"Revolut: Send, spend and save",,
3,HMRC,,
4,"PayPal - Pay, Send, Save",,
5,Lloyds Mobile Banking,,
6,Trading 212,,
7,testerup - earn money,,
8,Churchill,,
9,NatWest Mobile Banking,,
10,Barclays UK,,
11,Nationwide Mobile Banking,,
12,Capital One UK,,
13,Halifax Mobile Banking,,
14,HSBC UK Mobile Banking,,
15,Zable - Mobile Finance,,
16,Experian: Credit Score,,
17,ClearScore: Credit Score Check,,
18,Creation Finance,,
19,Hastings Direct Insurance,,
20,Zilch: Get Credit & Pay Later,,
21,Santander Mobile Banking,,
22,Chase UK,,
23,Moneybox - Save and Invest,,
24,Starling Bank - Mobile Banking,,
25,Frasers Plus,,
26,Wise (ex TransferWise),,
27,Splitwise,,
28,Barclaycard,,
29,Cuvva,,
30,Amex United Kingdom,,
31,Intuit Credit Karma,,
32,The People’s Pension,,
33,MyAviva,,
34,Remitly: Send Money & Transfer,,
35,GoHenry by Acorns Kids Banking,,
36,Scottish Widows,,
37,Tesco Bank and Clubcard Pay+,,
38,Vanguard UK,,
39,NS&I,,
40,Budget Planner l Snoop Money,,
41,Plum: Smart Saving & Investing,,
42,Emma - Budget Planner Tracker,,
43,Circuit Go,,
44,MoneySavingExpert,,
45,Wagestream - money management,,
46,"Crypto.com - Buy Bitcoin, ETH",,
47,Legal & General,,
48,Virgin Money Credit Card,,
49,NatWest Rooster Money,,
50,Hargreaves Lansdown,,
1,Gem - Money tracker,,
2,Cashflow Calendar,,
3,Pennies – Budget and Expenses,,
4,SeafarersCalc,,
5,Money Manager (Remove Ads),,
6,Meter Readings,,
7,BA II Plus™ Financial Calc,,
8,CalcTape Paper Tape Calculator,,
9,1SecMoney,,
10,iOweU,,
11,Military Retirement,,
12,Irish Tax Calculator Pro,,
13,iCurrency Pad,,
14,Money Pro: Personal Finance AR,,
15,Income OK - income & expenses,,
16,Account Tracker Pro,,
17,Finance Calculator Plus,,
18,12Calc,,
19,Bills Monitor Pro,,
20,Loan Calculator +,,
21,WalletApp,,
22,同花顺至尊版-股票软件,,
23,CashTally,,
24,Spending Log Pro,,
25,DataMan - Data Usage Widget,,
26,iXpenseIt Pro: Manage Money,,
27,Debt Manager,,
28,UK Tax Tool 2024,,
29,HomeBudget with Sync,,
30,XpenseTracker,,
31,Savings Goals Pro,,
32,Mortgage Calculator™,,
33,Money Monitor Pro,,
34,Debt Free - Pay Off your Debt,,
35,Budgets Pro - Expense Tracker,,
36,Balance Guide,,
37,Bill Assistant Pro,,
38,Home Budget Plan Pro,,
39,Budget with Back in Black,,
40,Mortgage Calculator Pro,,
41,Currency+ (Currency Converter),,
42,Loan Calculator Pro,,
43,Debt Payoff Pro,,
44,iSpreadsheet™,,
45,Accounts 2 Checkbook,,
46,Share-a-bill,,
47,Fuel Monitor Pro,,
48,iAllowance (Chores Allowances),,
49,UK Stamp Duty Calculator,,
50,iGold,,
1,QuickBooks Self-Employed,,
2,TradingView: Track All Markets,,
3,Splitwise,,
4,Seeking Alpha: News & Analysis,,
5,Xero Accounting for business,,
6,Budget Planner l Snoop Money,,
7,ClearScore: Credit Score Check,,
8,MileIQ: Mileage Tracker & Log,,
9,Atlas Earth,,
10,Easy Invoice Maker App,,
11,YNAB,,
12,Emma - Budget Planner Tracker,,
13,GoMining - Coin Mining App,,
14,Finimize Finance News Insights,,
15,Bitcoin Mining: Crypto Miner,,
16,Freebie Invoice Maker,,
17,Rate - APA Calculator,,
18,Moneyhub: Smart Budget Planner,,
19,Financielle: Budget Planner,,
20,STINU-Position Size Calculator,,
21,ADVFN Realtime Stocks & Crypto,,
22,Investing.com: Stock Market,,
23,Stocks To Buy Now : AI Signals,,
24,Bitcoin Mining · Cloud Mining,,
25,Stock Events Market Tracker,,
26,WAC: Manage Time & Money,,
27,Simply Wall St: Stock Analysis,,
28,Delta Investment Tracker,,
29,Budget Planner App - Fleur,,
30,MarketWatch - News & Data,,
31,Female Invest,,
32,iHub - Stocks & Crypto,,
33,Investors Chronicle,,
34,Receipt Scanner・Track Expenses,,
35,Banktivity,,
36,MoneyWiz 2024 Personal Finance,,
37,TipRanks Stock Market Analysis,,
38,CoinStats: Crypto Portfolio,,
39,Budget App - Spending Tracker,,
40,Webull: Trade & Invest Stocks,,
41,Invoice Maker for Contractors,,
42,Mileage Tracker by Driversnote,,
43,Smart Receipts: Expenses & Tax,,
44,Monefy: Money Tracker,,
45,"Stock Screener, AI Scanner",,
46,Debt Payoff Planner & Tracker,,
47,Briefcase - curated news,,
48,Easy Invoice Maker App by Moon,,
49,CoinKeeper 3 - money manager,,
50,Real Estate Master IIIx,,
