Rank,Name,Pricing,Developer
1,Cash App,,
2,"PayPal - Pay, Send, Save",,
3,Venmo,,
4,Zelle,,
5,Capital One Mobile,,
6,Chime – Mobile Banking,,
7,Intuit Credit Karma,,
8,Rocket Money - Bills & Budgets,,
9,Chase Mobile®: Bank & Invest,,
10,Experian®,,
11,Kalshi: Trade on the Election,,
12,Progressive,,
13,One – Mobile Banking,,
14,Bank of America Mobile Banking,,
15,Amex,,
16,Wells Fargo Mobile,,
17,Citi Mobile®,,
18,State Farm®,,
19,Remitly: Send Money & Transfer,,
20,Barclays US,,
21,Fidelity Investments,,
22,Discover Mobile,,
23,testerup - earn money,,
24,Brigit: Fast Cash Advance,,
25,Empower: Cash Advance & Credit,,
26,Robinhood: Investing for All,,
27,Dave: Fast Cash & Banking,,
28,GEICO Mobile - Car Insurance,,
29,Copper: Earn Money & Make Bank,,
30,Albert: Budgeting and Banking,,
31,Coinbase: Buy Bitcoin & Ether,,
32,Credit One Bank Mobile,,
33,"Crypto.com - Buy Bitcoin, ETH",,
34,SoFi - Banking & Investing,,
35,SCCU Plus,,
36,MoneyLion: Banking & Rewards,,
37,Current: The Future of Banking,,
38,DasherDirect By Payfare,,
39,Splitwise,,
40,Western Union Send Money Now,,
41,Cleo: Cash advance & Credit,,
42,Money App - Cash Advance,,
43,EveryDollar: Personal Budget,,
44,Empower®,,
45,Klover - Instant Cash Advance,,
46,EarnIn: Make Every Day Payday,,
47,DailyPay On-Demand Pay,,
48,Acorns: Invest For Your Future,,
49,dub | Copy Trade Anyone,,
50,Credit Genie: Get Cash Advance,,
1,US Debt Clock .org,,
2,Military Retirement,,
3,10bii Financial Calculator,,
4,Money Manager (Remove Ads),,
5,BA II Plus™ Financial Calc,,
6,The Checkbook,,
7,My Currency Converter Pro,,
8,HP 12C Financial Calculator,,
9,Money Pro: Personal Finance AR,,
10,BA Financial Calculator (PRO),,
11,Accounts 3 Checkbook,,
12,10BII Calc HD,,
13,HomeBudget with Sync,,
14,Income OK - income & expenses,,
15,Weple Money Pro,,
16,同花顺至尊版-股票软件,,
17,Gem - Money tracker,,
18,Tax Me Pro,,
19,Myanmar Market Price Pro,,
20,Pennies – Budget and Expenses,,
21,100 Days Saving Challenge,,
22,Military Retire Pay,,
23,EZ Financial Calculators Pro,,
24,Jitto - bill reminder & budget,,
25,Budget Calendar,,
26,Loan Calculator Pro,,
27,Currency+ (Currency Converter),,
28,CheckCraft,,
29,10bII Financial Calculator PRO,,
30,AndroMoney,,
31,CalConvert: Pro Calculator $€,,
32,Gold Money Pro,,
33,% Percentage Calculator Pro,,
34,iIndicators - Market Watch,,
35,Vicinno Financial Calculator,,
36,HP 12C Platinum Calculator,,
37,Adding Machine 10Key iPhone,,
38,Loan Calculator +,,
39,iAllowance (Chores Allowances),,
40,BA Finance Plus,,
41,Accounts 2 Checkbook,,
42,StockSpy: Real-time Quotes,,
43,Bills Monitor Pro,,
44,Adding Machine 10Key Universal,,
45,CalcTape Paper Tape Calculator,,
46,Purchases List,,
47,Quick Checkbook Pro,,
48,Simple Envelope Budgeting,,
49,Account Tracker Pro,,
50,Leasematic - Auto/Car Lease & Loan Calculator,,
1,MileIQ: Mileage Tracker & Log,,
2,EveryDollar: Personal Budget,,
3,Rocket Money - Bills & Budgets,,
4,Seeking Alpha: News & Analysis,,
5,Copilot: Track & Budget Money,,
6,TradingView: Track All Markets,,
7,YNAB,,
8,dub | Copy Trade Anyone,,
9,Atlas Earth,,
10,Monarch: Budget & Track Money,,
11,Webull: Investing & Trading,,
12,LifeLock Identity,,
13,Everlance - Mileage Tracker,,
14,Aura: Security & Protection,,
15,Splitwise,,
16,Bitcoin Mining · Cloud Mining,,
17,"Repair, Build Credit: Dovly AI",,
18,GoMining - Coin Mining App,,
19,SimplyWise: Receipt Scanner,,
20,Quicken Simplifi: Budget Smart,,
21,Stocks To Buy Now : AI Signals,,
22,PocketGuard・Money&Bill Tracker,,
23,Bitcoin Mining: Crypto Miner,,
24,MarketWatch - News & Data,,
25,Credit Sesame: Build Score,,
26,Lenme: Investing and Borrowing,,
27,Solo: Your Gig Business App,,
28,Experian®,,
29,Easy Invoice Maker App,,
30,"Hurdlr Mileage, Expenses & Tax",,
31,Mos: Money for students,,
32,Gridwise: Gig-Driver Assistant,,
33,Yahoo Finance: Stocks & News,,
34,Stock Signal: Analysis & Alert,,
35,Budget Planner App - Fleur,,
36,VectorVest: Stock & Investment,,
37,Debt Payoff Planner & Tracker,,
38,TipRanks Stock Market Analysis,,
39,Ember - Earn Bitcoin,,
40,Receipt Scanner・Track Expenses,,
41,Investor's Business Daily,,
42,Buddy: Budget Planner App,,
43,Tandem - Living Together,,
44,Unusual Whales,,
45,CardPointers for Credit Cards,,
46,Investing.com: Stock Market,,
47,FS Insight,,
48,Option Signal Alert,,
49,IdentityProtect.com,,
50,Dividend Tracker - DivTracker,,
